S.no,Meaningful,Uniqueness,Price,Physical availability,Saliency,Consideration
1,8,8,7,9,9,7
2,6,6,5,6,5,5
3,7,9,7,8,8,6
4,7,5,6,6,8,6
5,8,5,6,6,6,7
6,7,7,7,7,9,8
7,8,8,6,4,4,6
8,8,4,4,7,7,6
9,7,7,7,7,6,5
10,6,6,4,5,5,7
11,7,7,4,8,7,5
12,4,4,5,6,5,6
13,5,5,4,5,5,5
14,8,8,6,9,9,8
15,6,6,5,6,7,6
16,5,4,7,7,6,6
17,9,9,6,10,10,6
18,8,7,7,6,7,5
19,9,9,7,7,9,5
20,6,7,6,6,6,5
21,8,6,5,5,6,7
22,6,7,5,7,7,8
23,7,6,5,7,5,6
24,6,6,6,5,4,5
25,8,8,6,8,7,8
26,7,9,8,8,8,7
27,3,4,5,5,6,4
28,7,7,6,7,7,5
29,7,7,7,7,7,7
30,8,8,5,7,7,5
31,9,8,7,8,9,8
32,6,6,7,6,6,8
33,9,9,6,8,8,6
34,6,5,5,6,6,5
35,8,8,7,7,8,7
36,8,9,7,9,6,8
37,7,8,6,7,8,5
38,9,9,7,5,7,5
39,7,7,6,6,6,4
40,7,6,6,7,7,5
41,7,7,6,8,8,8
42,8,9,7,6,8,8
43,7,6,6,7,6,6
44,9,9,7,8,8,6
45,8,8,8,7,7,6
46,6,6,8,8,7,6
47,4,3,4,6,6,5
48,9,9,6,8,8,8
49,8,8,5,9,8,6
50,7,8,6,6,8,8
51,8,8,7,7,8,6
52,7,7,5,7,7,7
53,9,9,7,10,10,6
54,6,6,6,7,6,6
55,8,9,6,6,8,6
56,7,7,7,8,8,7
57,8,9,7,8,10,7
58,8,8,8,8,8,5
59,8,8,7,4,7,7
60,7,6,6,8,7,4
61,5,4,4,6,6,6
62,8,8,7,7,9,5
63,8,8,4,9,9,6
64,7,6,7,6,5,6
65,4,4,6,6,6,5
66,8,8,6,7,8,6
67,8,8,7,10,10,6
68,6,6,6,6,3,6
69,7,7,5,6,9,7
70,6,6,4,6,2,6
71,7,6,6,4,6,5
72,7,5,6,6,6,6
73,8,8,6,9,8,7
74,6,8,7,7,7,6
75,4,3,4,6,5,6
76,6,7,7,7,7,7
77,8,8,5,7,7,6
78,9,8,7,7,5,5
79,6,6,4,6,6,6
80,7,5,5,5,6,4
81,7,7,8,7,8,5
82,7,6,5,6,7,6
83,6,6,6,6,6,6
84,8,7,7,7,9,5
85,6,5,6,6,7,5
86,5,4,4,4,4,6
87,5,6,6,6,7,5
88,9,9,6,9,10,8
89,8,8,6,7,8,6
90,7,7,7,5,7,6
91,7,8,7,7,8,8
92,7,7,6,8,8,6
93,5,4,5,6,4,6
94,8,9,6,4,4,5
95,7,7,6,7,8,7
96,8,8,7,8,7,7
97,7,7,6,6,7,9
98,8,8,6,9,9,7
99,7,7,6,7,8,6
100,8,7,6,7,8,7
101,7,8,5,6,7,7
102,9,9,6,7,5,6
103,9,9,5,8,4,9
104,8,8,6,8,9,6
105,6,5,6,6,7,7
106,6,7,6,6,7,6
107,8,8,7,8,8,8
108,7,6,4,6,6,7
109,7,7,6,5,3,6
110,6,6,7,6,6,7
111,6,7,6,7,6,6
