S.no.,Wave,AGE,NATIONALITY,GENDER,Preferred brand,Love_index,Fav flavor,wide variety,Outdoor seating,new products,VFM,cust service,healthy foods,branches across,drivethru,packaging,delivery,opens 24/7,calm place,Decorof the shopcor ,comfortable seating,app for early order ,variety of milk,saudi company,International brand,consistent,trustworthy,spacious shops,maket leader,recommended brand,quality of beans,customozition,No VAT,Brand Functionality,Innovation ,Uniqueness / Different,Price,Worth,Physical Availability,Mental Availability
8IrQADQ,2,42,Egyptian,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,1,5,7
aPojEYi,2,31,Saudis,Female,Half Million,4,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,4,4,4,3,0,3,4
01Swer5,2,26,Saudis,Male,Half Million,7,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,10,10,9,3,2,7,7
20fP8Af,2,31,Pakistani,Male,Half Million,8,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,6,8,9,10,1,6,6
f3xS2Bh,2,20,Saudis,Female,Half Million,10,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,9,9,10,3,1,7,7
Og9HN3n,2,23,Saudis,Female,Half Million,8,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,8,10,8,0,1,6,5
0U7RInk,2,23,Saudis,Male,Half Million,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,9,5,1,6,5
eyo29ex,2,23,Saudis,Male,Half Million,9,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,9,8,8,6,1,3,6
UUKJrJf,2,21,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,7,0,1,6,7
FGJSEhU,2,25,Saudis,Male,Half Million,7,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,7,6,7,7,1,5,3
4QaWlJC,2,21,Saudis,Female,Half Million,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,8,6,10,8,1,3,5
kUPjIm8,2,18,Indian,Male,Half Million,9,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,9,9,9,5,1,5,5
UU6M3q7,2,22,Saudis,Male,Half Million,7,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,7,7,6,5,1,4,4
ndm24mI,2,25,Saudis,Female,Half Million,10,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,3,10,4,10,0,5,7
QK3UR0s,2,45,Saudis,Male,Half Million,5,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,5,5,5,1,9,4,5
xRkPdyt,2,40,Saudis,Female,Half Million,10,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,10,10,10,2,1,1,1
3Wgn7c9,2,19,Saudis,Male,Half Million,6,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,6,5,6,3,1,4,6
BhAJC8O,2,33,Saudis,Female,Half Million,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9,7,10,7,1,4,5
3rUn6iN,2,35,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,0,2,7,7
3wjRR7O,2,33,Egyptian,Male,Half Million,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,8,1,5,5
XNiAcCB,2,35,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,3,2,7,7
l7wnoBy,2,28,Saudis,Male,Half Million,4,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,10,10,10,7,0,7,7
MX9woTR,2,19,Saudis,Male,Half Million,10,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,7,10,10,1,1,7,7
Id2Glw5,2,19,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,7,10,10,4,1,7,7
F7U4Yn4,2,38,Pakistani,Male,Half Million,9,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,9,8,9,7,2,6,6
EEPy3CJ,2,40,Egyptian,Male,Half Million,10,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,10,10,10,7,1,4,6
gGRpXAG,2,27,Saudis,Female,Half Million,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,5,4,6,2,1,3,4
