S.no.,Wave,AGE,NATIONALITY,GENDER,Preferred brand,Love_index,Fav flavor,wide variety,Outdoor seating,new products,VFM,cust service,healthy foods,branches across,drivethru,packaging,delivery,opens 24/7,calm place,Decorof the shopcor ,comfortable seating,app for early order ,variety of milk,saudi company,International brand,consistent,trustworthy,spacious shops,maket leader,recommended brand,quality of beans,customozition,No VAT,Brand Functionality,Innovation ,Uniqueness / Different,Price,Worth,Physical Availability,Mental Availability
2wXhiPV,2,38,Saudis,Female,Barns,10,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,10,10,5,7,2,6,4
BLjlAHO,2,32,Saudis,Male,Starbucks,4,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,6,6,6,3,0,5,5
NM2jjV1,2,34,Saudis,Male,Starbucks,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,10,9,10,5,1,5,7
8IrQADQ,2,42,Egyptian,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,1,5,7
mPuWle4,2,45,Indian,Male,Starbucks,10,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,10,10,10,10,1,5,7
g49ntFl,2,27,Saudis,Female,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,9,10,10,2,1,6,6
nNPjgNh,2,49,Pakistani,Male,Dunkin Coffee,10,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,6,10,10,10,2,7,7
sBs4L79,2,31,Saudis,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,1,4,5
UbzIADK,2,44,Syrian,Male,Dr  Caf,7,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,9,10,8,8,0,5,5
ZsaOtUY,2,37,Pakistani,Male,Dr  Caf,10,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,7,10,2,10,0,7,7
7UAIbzw,2,29,Philippines,Male,Dr  Caf,7,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,6,9,9,7,2,5,6
mE0XbAh,2,38,Indian,Male,Starbucks,10,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,10,10,10,9,2,7,7
qJqtvnH,2,38,Saudis,Female,Starbucks,6,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,6,6,5,10,0,4,1
6z8vw4N,2,36,Pakistani,Male,Other 1 from Q019,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,1,2,2
kTo7vKo,2,26,Saudis,Female,Camel Step,8,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,8,9,8,9,0,4,6
bTVyxfG,2,26,Saudis,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,10,10,10,4,2,6,5
pNahzjG,2,38,Saudis,Male,Starbucks,10,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,10,10,10,8,1,7,6
H6eI6rG,2,23,Saudis,Female,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t0bmia0,2,31,Sudanese,Female,Dunkin Coffee,10,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,10,10,10,8,2,7,7
bQnDZdc,2,31,Saudis,Female,Starbucks,8,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,10,9,7,5,0,3,5
NDpWwVn,2,29,Pakistani,Male,Mc Cafe,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,9,9,2,7,7
06LiFVA,2,23,Saudis,Female,Dunkin Coffee,10,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,10,7,10,0,1,7,7
GvJkkvj,2,30,Pakistani,Male,Starbucks,8,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,8,7,7,6,0,3,4
kXqVenz,2,46,Saudis,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,9,2,7,6
F8GOtma,2,28,Saudis,Female,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2sIx3Sc,2,50,Indian,Male,Dunkin Coffee,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,9,8,8,5,0,5,5
HggF6rR,2,45,Saudis,Male,Starbucks,9,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,10,9,99,9,1,6,6
418R7us,2,27,Saudis,Male,Dunkin Coffee,10,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,9,10,10,1,1,7,7
aPojEYi,2,31,Saudis,Female,Half Million,4,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,4,4,4,3,0,3,4
1qIw8R5,2,27,Saudis,Female,Dunkin Coffee,9,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,7,5,6,7,0,6,4
01Swer5,2,26,Saudis,Male,Half Million,7,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,10,10,9,3,2,7,7
Wse4Awp,2,22,Saudis,Male,Tim Hortons,10,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,10,9,8,3,2,6,5
UtZv2TD,2,31,Saudis,Female,Camel Step,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,8,7,1,6,6
eBIlBwY,2,32,Saudis,Male,Starbucks,9,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,9,9,8,8,1,4,5
dOicbYL,2,35,Lebanese,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,2,6,6
XtuliXX,2,45,Syrian,Male,Barns,10,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,10,10,10,5,1,7,7
vcIi0qH,2,37,Egyptian,Male,Starbucks,10,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,10,10,10,9,2,7,5
wJ6FQYv,2,35,Egyptian,Male,Dr  Caf,8,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,8,8,9,3,9,6,5
54YLg89,2,34,Saudis,Female,Dunkin Coffee,10,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,10,10,9,9,2,7,7
3Y2Px05,2,33,Saudis,Male,Starbucks,10,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,10,10,10,9,1,7,2
20fP8Af,2,31,Pakistani,Male,Half Million,8,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,6,8,9,10,1,6,6
UhA4BjF,2,34,Saudis,Female,Mc Cafe,10,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,10,10,6,3,2,7,6
Lre0djU,2,29,Saudis,Female,Other 2 from Q019,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,1,0,6,5
e7Ln45L,2,38,Syrian,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,10,10,9,6,2,7,7
T6obvGD,2,48,Saudis,Female,Dunkin Coffee,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,10,10,10,8,2,7,7
iifpIA5,2,45,Saudis,Male,Starbucks,9,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,9,9,9,8,1,5,6
FKhXvKp,2,40,Saudis,Female,Starbucks,10,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,10,10,10,3,1,7,6
Dk2WMr5,2,20,"Westerners (European, American)",Male,Other from Q017,10,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,10,8,7,8,2,2,6
CIeutZN,2,17,Saudis,Female,Tim Hortons,10,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,10,8,10,5,1,5,7
omCigZo,2,41,Saudis,Female,Barns,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,5,5,1,4,4
oJ9splH,2,29,Saudis,Female,Dunkin Coffee,10,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,10,10,9,6,1,5,5
CEDOcbm,2,16,Saudis,Male,Dunkin Coffee,10,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,9,10,10,4,1,7,7
lZv0IcY,2,19,Saudis,Male,Starbucks,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,5,4,1,6,6
VX7gqRG,2,20,Saudis,Female,Starbucks,7,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,3,6,5,4,1,4,4
FP5k8jr,2,31,Saudis,Female,Starbucks,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,4,4
f3xS2Bh,2,20,Saudis,Female,Half Million,10,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,9,9,10,3,1,7,7
5z9r6nd,2,17,Egyptian,Male,Dunkin Coffee,10,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,10,10,9,9,2,5,7
SxOUXM5,2,22,Saudis,Male,Starbucks,9,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,10,10,10,10,0,5,3
0xEEQ1y,2,25,Saudis,Female,Dunkin Coffee,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,10,10,10,1,1,7,6
ZMiNpIx,2,21,Saudis,Female,Barns,8,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,8,8,7,1,6,6
xKbuGHn,2,22,Saudis,Female,Dunkin Coffee,10,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,8,7,1,4,5
tSUMXFq,2,24,Saudis,Male,Starbucks,10,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,10,10,10,8,0,7,7
Z58X4bu,2,35,Lebanese,Male,Starbucks,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,9,1,5,5
3bNNywB,2,25,Saudis,Male,Starbucks,7,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,7,6,7,5,1,5,5
Ai8i9nB,2,33,Indian,Male,Starbucks,7,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,7,5,7,6,1,4,4
wvsHZfF,2,25,Saudis,Female,Kyan,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,8,7,1,4,4
AYg7fRh,2,25,Saudis,Male,Mc Cafe,6,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,10,7,6,5,1,7,6
As2ZdcD,2,25,Saudis,Male,Dunkin Coffee,10,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,10,7,9,3,1,7,4
XgANXvt,2,25,Saudis,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,10,10,10,5,2,7,5
T1XuN4c,2,19,Saudis,Female,Starbucks,10,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,10,10,10,7,1,7,6
F79qHCn,2,22,Saudis,Female,Starbucks,6,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,9,8,8,7,2,3,5
BWmI2J3,2,22,Saudis,Male,Dunkin Coffee,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,10,10,10,8,1,7,7
D8wrrC4,2,23,Saudis,Male,Starbucks,7,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,6,3,6,5,1,5,4
bQNYMq4,2,25,Saudis,Male,Dunkin Coffee,9,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,8,8,9,7,1,6,6
vodE5RG,2,22,Saudis,Male,Starbucks,9,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,9,9,9,8,1,7,6
LcfFFyY,2,20,Saudis,Female,Barns,10,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,10,8,2,1,0,7,7
LUQatVJ,2,22,Saudis,Male,Starbucks,8,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,9,10,9,3,1,6,7
Du6rlR0,2,24,Saudis,Female,Starbucks,9,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,8,6,9,2,2,4,5
98jIUZ1,2,21,Saudis,Female,Dunkin Coffee,9,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,9,8,3,0,1,7,5
Og9HN3n,2,23,Saudis,Female,Half Million,8,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,8,10,8,0,1,6,5
0U7RInk,2,23,Saudis,Male,Half Million,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,9,5,1,6,5
zkSmAPs,2,24,Saudis,Female,Starbucks,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,7,8,1,7,5
iE9Qfvb,2,25,Saudis,Male,Java Time,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,7,8,4,1,6,5
6Zb39dh,2,25,Saudis,Female,Barns,10,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,8,99,99,6,1,7,1
Lm4tbzJ,2,19,Saudis,Male,Starbucks,10,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,10,10,10,10,1,7,7
45KMvVk,2,23,Saudis,Male,Barns,7,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,10,8,7,7,1,7,7
